,DATE,sales@t+1,,,,
,2019-05-12,449228.52459016400,,,,
,2019-05-19,449428.62295082000,,,,
,2019-05-26,449628.7213114750,,,,
,2019-06-02,449828.81967213100,,,,
,2019-06-09,450028.91803278700,,,,
,2019-06-16,450229.01639344300,,,,
,2019-06-23,450429.11475409800,,,,
,2019-06-30,450629.2131147540,,,,
,2019-07-07,450829.31147541000,,,,
,2019-07-14,451029.40983606600,,,,
,2019-07-21,451229.5081967210,,,,
,2019-07-28,451429.60655737700,,,,
,2019-08-04,451629.7049180330,,,,
,2019-08-11,451829.8032786890,,,,
,2019-08-18,452029.9016393440,,,,
,2019-08-25,452230.0,,,,
,2019-09-01,452616.3846153850,,,,
,2019-09-08,453002.76923076900,,,,
,2019-09-15,453389.1538461540,,,,
,2019-09-22,453775.53846153800,,,,
,2019-09-29,454161.92307692300,,,,
,2019-10-06,454548.3076923080,,,,
,2019-10-13,454934.6923076920,,,,
,2019-10-20,455321.07692307700,,,,
,2019-10-27,455707.46153846200,,,,
,2019-11-03,456093.8461538460,,,,
,2019-11-10,456480.23076923100,,,,
,2019-11-17,456866.6153846150,,,,
,2019-11-24,457253.0,,,,
,2019-12-01,455094.76923076900,,,,
,2019-12-08,452936.53846153800,,,,
,2019-12-15,450778.3076923080,,,,
,2019-12-22,448620.07692307700,,,,
,2019-12-29,446461.8461538460,,,,
,2020-01-05,444303.6153846150,,,,
,2020-01-12,442145.3846153850,,,,
,2020-01-19,439987.1538461540,,,,
,2020-01-26,437828.92307692300,,,,
,2020-02-02,435670.6923076920,,,,
,2020-02-09,433512.46153846200,,,,
,2020-02-16,431354.23076923100,,,,
,2020-02-23,429196.0,,,,
,2020-03-01,430855.7428571430,,,,
,2020-03-08,432515.4857142860,,,,
,2020-03-15,434175.22857142900,,,,
,2020-03-22,435834.97142857100,,,,
,2020-03-29,437494.71428571400,,,,
,2020-04-05,439154.45714285700,,,,
,2020-04-12,440814.2,,,,
,2020-04-19,442473.9428571430,,,,
,2020-04-26,444133.6857142860,,,,
,2020-05-03,445793.4285714290,,,,
,2020-05-10,447453.17142857100,,,,
,2020-05-17,449112.9142857140,,,,
,2020-05-24,450772.65714285700,,,,
,2020-05-31,452432.4,,,,
,2020-06-07,454092.14285714300,,,,
,2020-06-14,455751.8857142860,,,,
,2020-06-21,457411.6285714290,,,,
,2020-06-28,459071.3714285710,,,,
,2020-07-05,460731.1142857140,,,,
,2020-07-12,462390.85714285700,,,,
,2020-07-19,464050.6,,,,
,2020-07-26,465710.34285714300,,,,
,2020-08-02,467370.0857142860,,,,
,2020-08-09,469029.82857142900,,,,
,2020-08-16,470689.5714285710,,,,
,2020-08-23,472349.3142857140,,,,
,2020-08-30,474009.0571428570,,,,
,2020-09-06,475668.8,,,,
,2020-09-13,477328.54285714300,,,,
,2020-09-20,478988.28571428600,,,,
,2020-09-27,480648.02857142900,,,,
,2020-10-04,482307.77142857100,,,,
,2020-10-11,483967.5142857140,,,,
,2020-10-18,485627.2571428570,,,,
,2020-10-25,487287.0,,,,
,2020-11-01,488693.4871794870,,,,
,2020-11-08,490099.9743589740,,,,
,2020-11-15,491506.46153846200,,,,
,2020-11-22,492912.9487179490,,,,
,2020-11-29,494319.4358974360,,,,
,2020-12-06,495725.92307692300,,,,
,2020-12-13,497132.41025641000,,,,
,2020-12-20,498538.89743589700,,,,
,2020-12-27,499945.3846153850,,,,
,2021-01-03,501351.8717948720,,,,
,2021-01-10,502758.358974359,,,,
,2021-01-17,504164.8461538460,,,,
,2021-01-24,505571.3333333330,,,,
,2021-01-31,506977.8205128210,,,,
,2021-02-07,508384.3076923080,,,,
,2021-02-14,509790.7948717950,,,,
,2021-02-21,511197.28205128200,,,,
,2021-02-28,512603.76923076900,,,,
,2021-03-07,514010.25641025600,,,,
,2021-03-14,515416.74358974400,,,,
,2021-03-21,516823.23076923100,,,,
,2021-03-28,518229.71794871800,,,,
,2021-04-04,519636.2051282050,,,,
,2021-04-11,521042.6923076920,,,,
,2021-04-18,522449.1794871800,,,,
,2021-04-25,523855.6666666670,,,,
,2021-05-02,525262.1538461540,,,,
,2021-05-09,526668.641025641,,,,
,2021-05-16,528075.1282051280,,,,
,2021-05-23,529481.6153846150,,,,
,2021-05-30,530888.1025641030,,,,
,2021-06-06,532294.5897435900,,,,
,2021-06-13,533701.0769230770,,,,
,2021-06-20,535107.5641025640,,,,
,2021-06-27,536514.0512820510,,,,
,2021-07-04,537920.5384615390,,,,
,2021-07-11,539327.0256410260,,,,
,2021-07-18,540733.5128205130,,,,
,2021-07-25,542140.0,,,,
,2021-08-01,543348.7692307690,,,,
,2021-08-08,544557.5384615390,,,,
,2021-08-15,545766.3076923080,,,,
,2021-08-22,546975.0769230770,,,,
,2021-08-29,548183.8461538460,,,,
,2021-09-05,549392.6153846150,,,,
,2021-09-12,550601.3846153850,,,,
,2021-09-19,551810.1538461540,,,,
,2021-09-26,553018.9230769230,,,,
,2021-10-03,554227.6923076920,,,,
,2021-10-10,555436.4615384620,,,,
,2021-10-17,556645.2307692310,,,,
,2021-10-24,557854.0,,,,
,2021-10-31,559062.7692307690,,,,
,2021-11-07,560271.5384615390,,,,
,2021-11-14,561480.3076923080,,,,
,2021-11-21,562689.0769230770,,,,
,2021-11-28,563897.8461538460,,,,
,2021-12-05,565106.6153846150,,,,
,2021-12-12,566315.3846153850,,,,
,2021-12-19,567524.1538461540,,,,
,2021-12-26,568732.9230769230,,,,
,2022-01-02,569941.6923076920,,,,
,2022-01-09,571150.4615384620,,,,
,2022-01-16,572359.2307692310,,,,
,2022-01-23,573568.0,,,,
,2022-01-30,574776.7692307690,,,,
